Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
0, 300, 0.08, 8e-05, 0.8, 446983.64012424153, 609.0873104530589
1, 300, 0.08, 8e-05, 0.5, 373251.4759416726, 146.96690122191924
2, 300, 0.08, 8e-05, 0.3, 19813.286328920618, 6.644927833464388
3, 300, 0.08, 8e-05, 0.1, 23.47539386006643, 3.8917861569750025
4, 300, 0.08, 8e-05, 0.08, 28.005944275443653, 4.286348963078056
5, 300, 0.08, 8e-05, 0.05, 26.900601926763283, 4.11565290356536
6, 300, 0.08, 8e-05, 0.03, 31.23006166154658, 4.527484725551467
7, 300, 0.08, 8e-05, 0.01, 34.884030280780095, 4.661502087021024
8, 300, 0.08, 5e-05, 0.8, 447323.0355282465, 651.9898856703273
9, 300, 0.08, 5e-05, 0.5, 383029.04964124423, 171.92710874737563
10, 300, 0.08, 5e-05, 0.3, 24699.12536879304, 5.535240977456459
11, 300, 0.08, 5e-05, 0.1, 30.311539591551217, 4.383314514263549
12, 300, 0.08, 5e-05, 0.08, 28.58052018539418, 4.165699722436648
13, 300, 0.08, 5e-05, 0.05, 33.99282722530956, 4.730763058465844
14, 300, 0.08, 5e-05, 0.03, 37.821700177616634, 4.757165774324547
15, 300, 0.08, 5e-05, 0.01, 36.32060890228688, 4.871613322834945
16, 300, 0.08, 3e-05, 0.8, 457184.1894724181, 586.7091958543726
17, 300, 0.08, 3e-05, 0.5, 392304.07115680614, 135.03746995240016
18, 300, 0.08, 3e-05, 0.3, 53.595749405741074, 4.605384814636357
19, 300, 0.08, 3e-05, 0.1, 27.83398291760502, 4.106685010873998
20, 300, 0.08, 3e-05, 0.08, 30.150062118436672, 4.345511568172302
21, 300, 0.08, 3e-05, 0.05, 26.681994962536947, 4.113205050081033
22, 300, 0.08, 3e-05, 0.03, 31.813920036452146, 4.510425445036037
23, 300, 0.08, 3e-05, 0.01, 37.71077506869719, 5.037456000953242
24, 300, 0.08, 1e-05, 0.8, 438236.27318637155, 611.5573601365958
25, 300, 0.08, 1e-05, 0.5, 425825.9948295828, 149.02975267571273
26, 300, 0.08, 1e-05, 0.3, 22073.505293386257, 5.904945821680207
27, 300, 0.08, 1e-05, 0.1, 33.63127480358526, 4.502893229580079
28, 300, 0.08, 1e-05, 0.08, 27.61337061269645, 3.9217145793499526
29, 300, 0.08, 1e-05, 0.05, 30.883106219193074, 4.4672162914326865
30, 300, 0.08, 1e-05, 0.03, 35.562627855104495, 4.951403233488649
31, 300, 0.08, 1e-05, 0.01, 31.84197778735928, 4.562916341288441
32, 300, 0.05, 8e-05, 0.8, 382061.7519099093, 636.2358298673862
33, 300, 0.05, 8e-05, 0.5, 84.57206712383332, 6.653454116016479
34, 300, 0.05, 8e-05, 0.3, 22.206779960837487, 2.5306399934389803
35, 300, 0.05, 8e-05, 0.1, 15.473250430382938, 2.433682726189961
36, 300, 0.05, 8e-05, 0.08, 15.779676750298842, 2.6523922046503143
37, 300, 0.05, 8e-05, 0.05, 13.948894292842912, 2.673775506334693
38, 300, 0.05, 8e-05, 0.03, 17.058346778497793, 2.782056306162379
39, 300, 0.05, 8e-05, 0.01, 22.741436246125566, 3.088021626631014
40, 300, 0.05, 5e-05, 0.8, 440767.43420468346, 633.4570546206343
41, 300, 0.05, 5e-05, 0.5, 24338.746070552123, 9.703420384457393
42, 300, 0.05, 5e-05, 0.3, 21.63019356927177, 2.5681551925780504
43, 300, 0.05, 5e-05, 0.1, 14.402227436996037, 2.418906238714061
44, 300, 0.05, 5e-05, 0.08, 16.38989154114349, 2.701243519856621
45, 300, 0.05, 5e-05, 0.05, 14.675472827200991, 2.5805834633784093
46, 300, 0.05, 5e-05, 0.03, 11.462286507301892, 2.4821654133226807
47, 300, 0.05, 5e-05, 0.01, 16.122643035863568, 2.8128294985943354
48, 300, 0.05, 3e-05, 0.8, 344381.59672601323, 612.0947677494412
49, 300, 0.05, 3e-05, 0.5, 65377.11545297309, 17.77128961040706
50, 300, 0.05, 3e-05, 0.3, 16.980067835337728, 2.4100758379199583
51, 300, 0.05, 3e-05, 0.1, 16.05053102201387, 2.5435636074151593
52, 300, 0.05, 3e-05, 0.08, 9.430674934825024, 2.26231840877316
53, 300, 0.05, 3e-05, 0.05, 13.361514193016072, 2.4824482366405514
54, 300, 0.05, 3e-05, 0.03, 13.251416602140457, 2.5017429819399535
55, 300, 0.05, 3e-05, 0.01, 18.555210142983793, 2.884894229238225
56, 300, 0.05, 1e-05, 0.8, 362375.7521379792, 628.9964780394915
57, 300, 0.05, 1e-05, 0.5, 21143.834913913128, 8.987871326054849
58, 300, 0.05, 1e-05, 0.3, 17.443576915705798, 2.3374044347083816
59, 300, 0.05, 1e-05, 0.1, 9.118033697443252, 2.3069153009909433
60, 300, 0.05, 1e-05, 0.08, 11.842613822271922, 2.525220111443136
61, 300, 0.05, 1e-05, 0.05, 17.1029782246744, 2.7300413947400344
62, 300, 0.05, 1e-05, 0.03, 18.52066823407334, 2.7959189731193823
63, 300, 0.05, 1e-05, 0.01, 18.34211138845188, 3.138737091621672
64, 300, 0.03, 8e-05, 0.8, 545233.8172557901, 582.5593233660759
65, 300, 0.03, 8e-05, 0.5, 23.39040759571792, 2.478727884533969
66, 300, 0.03, 8e-05, 0.3, 7.88974853543241, 2.1015709649011667
67, 300, 0.03, 8e-05, 0.1, 6.2680416072737195, 2.1734964317020578
68, 300, 0.03, 8e-05, 0.08, 6.554704989238667, 2.1582214851729145
69, 300, 0.03, 8e-05, 0.05, 6.798969804007919, 2.1626194846105387
70, 300, 0.03, 8e-05, 0.03, 7.018118395534093, 2.181757211127889
71, 300, 0.03, 8e-05, 0.01, 6.792614787760298, 2.21126513232183
72, 300, 0.03, 5e-05, 0.8, 532427.4046560164, 520.0092614399081
73, 300, 0.03, 5e-05, 0.5, 27.86310036511718, 2.8073415525193717
74, 300, 0.03, 5e-05, 0.3, 7.153322753708137, 2.1140452068183917
75, 300, 0.03, 5e-05, 0.1, 6.4685947888236175, 2.1071269343027486
76, 300, 0.03, 5e-05, 0.08, 6.730897518194437, 2.140605751184902
77, 300, 0.03, 5e-05, 0.05, 6.586698891951559, 2.155852177339022
