Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
0, 300, 0.08, 8e-05, 0.8, 475861.2525509936, 738.5121058776315
1, 300, 0.08, 8e-05, 0.5, 442172.69287230185, 182.56491638273025
2, 300, 0.08, 8e-05, 0.3, 18.919150546467755, 2.4261158943147807
3, 300, 0.08, 8e-05, 0.1, 33.064198283310084, 3.652547014013257
4, 300, 0.08, 8e-05, 0.08, 38.48857424351253, 4.707875757531371
5, 300, 0.08, 8e-05, 0.05, 24.472734580956818, 3.522227779896375
6, 300, 0.08, 8e-05, 0.03, 38.24686100638421, 4.819309186002301
7, 300, 0.08, 8e-05, 0.01, 46.27285737992933, 5.565060263597465
8, 300, 0.08, 5e-05, 0.8, 507234.49981945555, 738.5121058776315
9, 300, 0.08, 5e-05, 0.5, 452652.7189451021, 188.0970268391693
10, 300, 0.08, 5e-05, 0.3, 25.148877672977385, 2.799567811000095
11, 300, 0.08, 5e-05, 0.1, 23.672223885921923, 3.464977065769335
12, 300, 0.08, 5e-05, 0.08, 28.752308025818913, 3.8090723527412487
13, 300, 0.08, 5e-05, 0.05, 32.59469177273142, 4.16170902416213
14, 300, 0.08, 5e-05, 0.03, 32.40847116422376, 3.985819212305542
15, 300, 0.08, 5e-05, 0.01, 35.35667905687969, 4.46574588248507
16, 300, 0.08, 3e-05, 0.8, 476726.8599451502, 738.5121058776315
17, 300, 0.08, 3e-05, 0.5, 438236.27318637155, 180.04108577896918
18, 300, 0.08, 3e-05, 0.3, 21.159828516577967, 2.9000563164476456
19, 300, 0.08, 3e-05, 0.1, 43.475946545061646, 4.667607016189657
20, 300, 0.08, 3e-05, 0.08, 26.55158687396277, 3.9762919389557347
21, 300, 0.08, 3e-05, 0.05, 26.3659689837586, 3.7054114851302082
22, 300, 0.08, 3e-05, 0.03, 32.10383718121934, 4.176209156528745
23, 300, 0.08, 3e-05, 0.01, 51.22142994167059, 5.834039055341637
24, 300, 0.08, 1e-05, 0.8, 430321.5658132167, 738.5121058776315
25, 300, 0.08, 1e-05, 0.5, 442172.69287230185, 183.72216864134018
26, 300, 0.08, 1e-05, 0.3, 26.575265723718168, 2.540073459907461
27, 300, 0.08, 1e-05, 0.1, 34.02151787401375, 4.07918281322644
28, 300, 0.08, 1e-05, 0.08, 26.422188904724766, 3.6866707356293347
29, 300, 0.08, 1e-05, 0.05, 28.46463618233985, 3.700695596410502
30, 300, 0.08, 1e-05, 0.03, 35.76721588851404, 4.621281466508197
31, 300, 0.08, 1e-05, 0.01, 32.90519863700885, 4.246766287350789
32, 300, 0.05, 8e-05, 0.8, 438236.27318637155, 615.6066790795268
33, 300, 0.05, 8e-05, 0.5, 120.610127916426, 3.1934196726289263
34, 300, 0.05, 8e-05, 0.3, 7.559922572559039, 2.043387492927269
35, 300, 0.05, 8e-05, 0.1, 7.154915156932698, 2.086271376580321
36, 300, 0.05, 8e-05, 0.08, 7.3994796342679034, 2.0589976707635875
37, 300, 0.05, 8e-05, 0.05, 7.793219768663699, 2.1983002048685796
38, 300, 0.05, 8e-05, 0.03, 7.04370237745769, 2.1229697080236796
39, 300, 0.05, 8e-05, 0.01, 7.653811841657825, 2.1986717010172603
40, 300, 0.05, 5e-05, 0.8, 438236.27318637155, 592.7807736074988
41, 300, 0.05, 5e-05, 0.5, 91.31214160678688, 3.316699788854566
42, 300, 0.05, 5e-05, 0.3, 6.8565423293303684, 2.0573256862831055
43, 300, 0.05, 5e-05, 0.1, 6.790778141122708, 2.1297683916648267
44, 300, 0.05, 5e-05, 0.08, 6.7671846417830555, 2.1274238947014124
45, 300, 0.05, 5e-05, 0.05, 7.569930153794073, 2.074452573986273
46, 300, 0.05, 5e-05, 0.03, 7.736348029874752, 2.1521847790622806
47, 300, 0.05, 5e-05, 0.01, 8.026365791980409, 2.1619115236088353
48, 300, 0.05, 3e-05, 0.8, 438236.27318637155, 696.2601623420958
49, 300, 0.05, 3e-05, 0.5, 47.58619151526655, 2.58980927486902
50, 300, 0.05, 3e-05, 0.3, 7.5908496073430864, 2.010680116238078
51, 300, 0.05, 3e-05, 0.1, 7.193507660858698, 2.0522609026681975
52, 300, 0.05, 3e-05, 0.08, 6.522908888695807, 2.0395283133217563
53, 300, 0.05, 3e-05, 0.05, 6.454893198835293, 2.063690965762337
54, 300, 0.05, 3e-05, 0.03, 8.323211644936936, 2.279987265217936
55, 300, 0.05, 3e-05, 0.01, 7.469462020270514, 2.1411936376151615
56, 300, 0.05, 1e-05, 0.8, 438236.27318637155, 647.6595298478177
57, 300, 0.05, 1e-05, 0.5, 68.09297058120876, 2.7317026868453853
58, 300, 0.05, 1e-05, 0.3, 7.915052093233454, 2.0477976520828958
59, 300, 0.05, 1e-05, 0.1, 6.661788707615658, 2.04896037944195
60, 300, 0.05, 1e-05, 0.08, 6.604807221957458, 2.0743536931063624
61, 300, 0.05, 1e-05, 0.05, 6.983818579872373, 2.157584114117912
62, 300, 0.05, 1e-05, 0.03, 7.6976054296053675, 2.1351610023596477
63, 300, 0.05, 1e-05, 0.01, 7.719631820018757, 2.189972860022791
64, 300, 0.03, 8e-05, 0.8, 438236.27318637155, 661.4878941223685
65, 300, 0.03, 8e-05, 0.5, 9.00505207688263, 2.1358296109303234
66, 300, 0.03, 8e-05, 0.3, 6.776740948568093, 2.0610691242839123
67, 300, 0.03, 8e-05, 0.1, 5.719844915484574, 2.035698715599678
68, 300, 0.03, 8e-05, 0.08, 5.813506708136116, 2.082067349767289
69, 300, 0.03, 8e-05, 0.05, 5.79322423156185, 2.065869510742263
